Survey Year,Timestamp, SalaryUSD ,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,OtherDatabases,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,CompanyEmployeesOverall,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek,NewestVersionInProduction,OldestVersionInProduction,PopulationOfLargestCityWithin20Miles,EmploymentSector,LookingForAnotherJob,CareerPlansThisYear,Gender,OtherJobDuties,KindsOfTasksPerformed,Counter
2020,1/2/2020 18:47:20,  87.500 ,United States,28213,Microsoft SQL Server,10,Microsoft SQL Server,Full time employee,"Developer: App code (C#, JS, etc)",No,10,3,1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2017,300K-1M (large city),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,1/2/2020 14:44:51,  120.000 ,United States,85383,Microsoft SQL Server,20,"MySQL/MariaDB, Microsoft Access",Full time employee,Manager,Yes,9,2 (I worked at another similar position elsewhere before this one),None,Not Asked,40,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2014,1M+ (metropolis),Local government,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,1/2/2020 10:59:43,  158.000 ,United States,,Oracle,15,Microsoft SQL Server,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,1 (this is the only company where I've had this kind of position),None,Not Asked,40,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,20K-99K (large town),Non-profit,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/2/2020 10:06:58,  53.000 ,United States,87544,Microsoft SQL Server,1,"Microsoft SQL Server, Microsoft Access",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,1 (this is the only company where I've had this kind of position),3,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008,"<= 20,000 (town)",Federal government,Not Asked,"Stay with the same employer,  but change roles",Female,Not Asked,Not Asked,1
2020,1/2/2020 9:59:30,  49.620 ,United Kingdom,SW19,Microsoft SQL Server,3,Microsoft SQL Server,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,9,4,None,Not Asked,21,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/2/2020 9:30:57,  88.000 ,United States,,Other,4,Teradata,Full time employee,Analyst,No,4,1 (this is the only company where I've had this kind of position),More than 5,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2014,20K-99K (large town),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/2/2020 9:15:23,  84.000 ,Canada,,Microsoft SQL Server,15,"Microsoft SQL Server, MongoDB",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,15,6 or more,4,Not Asked,150,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,300K-1M (large city),Local government,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,1/2/2020 7:03:20,  40.000 ,Netherlands,5142,Oracle,15,,Full time employee,Manager,No,15,2 (I worked at another similar position elsewhere before this one),None,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2016,300K-1M (large city),Non-profit,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/2/2020 5:48:53,  64.422 ,United Kingdom,M15 6SY,Microsoft SQL Server,10,MySQL/MariaDB,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,3,2,Not Asked,12,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/2/2020 5:24:05,  105.000 ,Austria,5020,Microsoft SQL Server,20,PostgreSQL,"Independent consultant, contractor, freelancer,  or company owner",DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),Yes,25,4,1,Not Asked,6,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2017,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/2/2020 3:35:50,  56.000 ,Belgium,5000,Microsoft SQL Server,10,"Microsoft SQL Server, Microsoft Access",Full time employee,"Developer: App code (C#, JS, etc)",Yes,22,2 (I worked at another similar position elsewhere before this one),1,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/1/2020 19:10:25,  90.000 ,United States,62220,MySQL/MariaDB,1,"Microsoft SQL Server, Microsoft Access",Full time employee of a consulting/contracting company,Analyst,No,1,1 (this is the only company where I've had this kind of position),1,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2017,300K-1M (large city),Federal government,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/1/2020 17:01:50,  100.000 ,United States,73116,Microsoft SQL Server,7,"Microsoft SQL Server, Oracle, PostgreSQL, Microsoft Access, SQLite",Full time employee,Developer: T-SQL,No,5,2 (I worked at another similar position elsewhere before this one),None,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2014,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/1/2020 13:08:29,  128.500 ,United States,75201,Microsoft SQL Server,18,Microsoft SQL Server,Full time employee,Developer: T-SQL,Yes,4,2 (I worked at another similar position elsewhere before this one),None,Not Asked,7,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2012,1M+ (metropolis),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,1/1/2020 11:11:07,  64.000 ,United States,76107,Microsoft SQL Server,6,Azure SQL DB (any flavor),Full time employee,"Developer: App code (C#, JS, etc)",No,3,2 (I worked at another similar position elsewhere before this one),1,Not Asked,12,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2008R2,1M+ (metropolis),Non-profit,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,1/1/2020 8:50:14,  75.000 ,United States,19116,Microsoft Access,1,"Microsoft SQL Server, PostgreSQL, Microsoft Access",Full time employee,Analyst,No,1,1 (this is the only company where I've had this kind of position),3,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,Unsure,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/31/2019 14:19:39,  185.000 ,United States,92804,Microsoft SQL Server,15,"Microsoft SQL Server, MySQL/MariaDB, Microsoft Access, Amazon RDS (any flavor)",Full time employee,Engineer,No,15,2 (I worked at another similar position elsewhere before this one),None,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2014,300K-1M (large city),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/31/2019 13:24:13,  53.500 ,United Kingdom,HD1,Microsoft SQL Server,5,"Microsoft SQL Server, MongoDB, Azure SQL DB (any flavor)",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,5,1 (this is the only company where I've had this kind of position),1,Not Asked,12,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,2005,300K-1M (large city),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/31/2019 13:00:25,  116.000 ,United States,05,Microsoft SQL Server,15,Azure SQL DB (any flavor),Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,9,1 (this is the only company where I've had this kind of position),1,Not Asked,300,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL 2005,20K-99K (large town),Non-profit,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 10:07:24,  55.000 ,United States,,PostgreSQL,0,,Full time employee,Analyst,No,0,1 (this is the only company where I've had this kind of position),1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,We don’t ,We dont,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 9:43:00,  40.000 ,United States,44281,MySQL/MariaDB,1,"Oracle, MySQL/MariaDB",Full time employee,Analyst,No,1,1 (this is the only company where I've had this kind of position),None,Not Asked,7,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL Server 2019,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 8:54:53,  115.000 ,United States,32232,Microsoft SQL Server,10,"Oracle, Microsoft Access",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,7,3,1,Not Asked,50,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,300K-1M (large city),Local government,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 7:43:10,  53.000 ,United States,14203,Microsoft SQL Server,2,"Oracle, Microsoft Access, Teradata",Full time employee,Analyst,No,2,1 (this is the only company where I've had this kind of position),4,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2014,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 7:10:56,  95.000 ,United States,33624,Microsoft SQL Server,3,,Full time employee,Engineer,No,1,1 (this is the only company where I've had this kind of position),More than 5,Not Asked,20,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2016,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 7:04:11,  142.000 ,United States,22180,Oracle,5,,Full time employee,Analyst,Yes,5,1 (this is the only company where I've had this kind of position),3,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2012,SQL Server 2012,1M+ (metropolis),Federal government,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/31/2019 6:58:09,  100.000 ,United States,,Microsoft SQL Server,6,"Microsoft SQL Server, PostgreSQL",Full time employee,Analyst,No,11,3,2,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,1M+ (metropolis),Non-profit,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/31/2019 6:34:50,  122.000 ,United States,,Microsoft SQL Server,5,PostgreSQL,Full time employee of a consulting/contracting company,Architect,No,5,3,More than 5,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 6:06:41,  60.000 ,United States,17011,Microsoft SQL Server,1,"Microsoft SQL Server, Oracle, MySQL/MariaDB",Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",Yes,1,2 (I worked at another similar position elsewhere before this one),1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2014,20K-99K (large town),Federal government,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/31/2019 5:13:51,  78.000 ,United States,,Microsoft SQL Server,2,Microsoft SQL Server,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,2,1 (this is the only company where I've had this kind of position),2,Not Asked,60,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Female,Not Asked,Not Asked,1
2020,12/31/2019 5:03:04,  74.000 ,United Kingdom,W2,Other,1,"PostgreSQL, SQLite",Full time employee,Data Scientist,No,3,2 (I worked at another similar position elsewhere before this one),1,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,12/31/2019 5:01:55,  44.000 ,France,,Microsoft SQL Server,1,,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,1,1 (this is the only company where I've had this kind of position),More than 5,Not Asked,7,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 4:53:07,  103.000 ,United States,33131,Microsoft SQL Server,10,,Full time employee of a consulting/contracting company,Other,No,10,2 (I worked at another similar position elsewhere before this one),More than 5,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2014,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 4:33:02,  85.000 ,United States,30067,Microsoft SQL Server,3,Teradata,Full time employee,Analyst,No,3,1 (this is the only company where I've had this kind of position),None,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2016,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/31/2019 4:28:20,  100.000 ,United States,31419,Microsoft SQL Server,20,"MySQL/MariaDB, Microsoft Access",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,20,3,None,Not Asked,15,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2014,100K-299K (city),Federal government,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 4:15:28,  32.237 ,United Kingdom,,Microsoft SQL Server,1,Microsoft SQL Server,Full time employee,Analyst,No,1,1 (this is the only company where I've had this kind of position),1,Not Asked,100,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2012,SQL Server 2008,100K-299K (city),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,12/31/2019 4:09:21,  66.400 ,United Kingdom,CW5,Microsoft SQL Server,2,Microsoft SQL Server,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",Yes,11,2 (I worked at another similar position elsewhere before this one),None,Not Asked,11,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL Server 2016,20K-99K (large town),Federal government,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/31/2019 4:00:08,  85.000 ,United States,98052,Microsoft SQL Server,6,Microsoft Access,Full time employee,Developer: T-SQL,Yes,6,1 (this is the only company where I've had this kind of position),None,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2016,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Female,Not Asked,Not Asked,1
2020,12/31/2019 3:39:39,  56.500 ,Romania,400000,Microsoft SQL Server,6,"Oracle, PostgreSQL, MongoDB, SQLite, DBase",Full time employee,Data Scientist,No,2,1 (this is the only company where I've had this kind of position),None,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,DBase,300K-1M (large city),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/31/2019 3:36:01,  81.619 ,Denmark,,Microsoft SQL Server,3,SQLite,Full time employee,"Developer: App code (C#, JS, etc)",No,3,1 (this is the only company where I've had this kind of position),1,Not Asked,6,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2016,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 2:51:32,  66.000 ,Netherlands,2132,Microsoft SQL Server,20,"Microsoft Access, SQLite",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,20,1 (this is the only company where I've had this kind of position),None,Not Asked,8,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL Server 2008R2,300K-1M (large city),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,12/31/2019 2:08:33,  85.000 ,United States,64015,Microsoft SQL Server,10,Oracle,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,10,4,None,Not Asked,15,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL Server 2012,300K-1M (large city),"Education (K-12, college, university)",Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 2:04:08,  81.000 ,United States,,Microsoft SQL Server,4,"Oracle, MySQL/MariaDB",Full time employee,Analyst,Yes,3,1 (this is the only company where I've had this kind of position),1,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,300K-1M (large city),"Education (K-12, college, university)",Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 1:57:49,  148.000 ,United States,60642,Cassandra,5,"PostgreSQL, Cassandra, Google BigQuery",Full time employee,Data Scientist,No,7,2 (I worked at another similar position elsewhere before this one),1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,we don't use these tech,we don't use these tech,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer,  but change roles",Female,Not Asked,Not Asked,1
2020,12/31/2019 1:57:38,  148.000 ,United States,60642,Cassandra,5,"PostgreSQL, Cassandra, Google BigQuery",Full time employee,Data Scientist,No,7,2 (I worked at another similar position elsewhere before this one),1,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,we don't use these tech,we don't use these tech,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer,  but change roles",Female,Not Asked,Not Asked,1
2020,12/31/2019 1:53:44,  50.000 ,United States,,Microsoft SQL Server,1,,Full time employee,Engineer,No,1,1 (this is the only company where I've had this kind of position),4,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,I don't know,I don't know,"<= 20,000 (town)",Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 1:42:08,  87.000 ,Israel,,Microsoft SQL Server,13,Oracle,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,9,2 (I worked at another similar position elsewhere before this one),More than 5,Not Asked,200,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,300K-1M (large city),Federal government,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/31/2019 1:23:57,  55.000 ,United States,92780,Microsoft SQL Server,1,,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,1 (this is the only company where I've had this kind of position),2,Not Asked,110,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2008R2,300K-1M (large city),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,12/31/2019 1:22:13,  44.000 ,United Kingdom,NG19,Microsoft SQL Server,4,Microsoft SQL Server,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,2,1 (this is the only company where I've had this kind of position),None,Not Asked,5,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL Server 2008R2,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 1:10:46,  115.000 ,United States,,Microsoft SQL Server,1,"Microsoft SQL Server, Teradata, SAP HANA",Full time employee,Data Scientist,No,1,1 (this is the only company where I've had this kind of position),4,Not Asked,6,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL Server 2017,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 1:02:10,  115.000 ,United States,98107,Amazon RDS (any flavor),3,"PostgreSQL, Microsoft Access, Amazon RDS (any flavor)",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,3,1 (this is the only company where I've had this kind of position),5,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Don’t use sql server,Don’t use sql server,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,12/31/2019 0:45:16,  80.000 ,Canada,,MySQL/MariaDB,5,"Microsoft SQL Server, PostgreSQL, Amazon RDS (any flavor)",Full time employee,Analyst,No,3,3,4,Not Asked,0,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2012,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Female,Not Asked,Not Asked,1
2020,12/31/2019 0:15:48,  130.000 ,United States,84094,Other,10,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Teradata",Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,10,2 (I worked at another similar position elsewhere before this one),More than 5,Not Asked,10,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,NA,NA,1M+ (metropolis),Private business,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
2020,12/31/2019 0:08:37,  100.000 ,Canada,,Microsoft SQL Server,7,,Full time employee,Analyst,No,7,2 (I worked at another similar position elsewhere before this one),1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2014,SQL Server 2008R2,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,12/31/2019 0:03:53,  98.000 ,United States,08807,Microsoft SQL Server,5,"Microsoft SQL Server, Oracle, DB2, Microsoft Access",Full time employee,Analyst,No,5,1 (this is the only company where I've had this kind of position),1,Not Asked,2,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2017,100K-299K (city),Private business,Not Asked,"Stay with the same role, but change employers",Male,Not Asked,Not Asked,1
